name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
monterrey,2023-01-23,16.1,9.6,12.5,16.1,9.6,12.5,9.4,83.8,3.802,100,50,rain,0,0,64.8,16.5,109.6,1017,81.6,7,10.5,0.8,0,10,2023-01-23T07:28:11,2023-01-23T18:18:18,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-24,25.4,12.8,18,25.4,12.8,18,11.4,70.3,0,0,0,,0,0,49,26.1,348.7,1009.8,63.7,10.3,107.4,9.4,4,10,2023-01-24T07:27:55,2023-01-24T18:19:04,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-01-25,21.1,6,13.9,21.1,3.8,13.7,-2.2,35.5,0,0,0,,0,0,28.8,20.5,352.6,1020.5,14.1,16.6,117.6,10.3,4,10,2023-01-25T07:27:37,2023-01-25T18:19:50,0.13,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-26,13.1,6.1,10.3,13.1,4.5,9.7,0.8,52.6,0,0,0,rain,0,0,37.4,20.2,111.4,1026.3,61.4,15.4,65.8,5.8,5,10,2023-01-26T07:27:18,2023-01-26T18:20:35,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-01-27,13.7,7.8,10.7,13.7,6.9,10.5,4.8,68.5,0,0,0,rain,0,0,31.7,11.5,105.6,1024.5,97,9.7,59.7,5.2,3,10,2023-01-27T07:26:58,2023-01-27T18:21:21,0.2,Overcast,Cloudy skies throughout the day.,cloudy,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-28,22.6,7.1,14.8,22.6,6.7,14.7,8.3,68.8,0,0,0,,0,0,17.3,8.2,277.7,1016.5,87.6,7.1,80,7.1,3,10,2023-01-28T07:26:36,2023-01-28T18:22:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-01-29,30.4,13.1,21.2,30.3,13.1,21.1,10.8,53.4,0,0,0,,0,0,28.8,15.6,81.5,1013.8,30.5,13.2,117.7,10.2,6,10,2023-01-29T07:26:13,2023-01-29T18:22:51,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,76394399999,76393099999"
monterrey,2023-01-30,28.1,12.5,20.2,28.7,12.5,20.3,13.9,68.1,0,0,0,,0,0,31.7,21.6,76.3,1015.3,38,11.2,116,10,4,10,2023-01-30T07:25:49,2023-01-30T18:23:36,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMIO,76390099999,E0076,76394099999,MMMY,MMAN,76394399999,remote,76393099999"
monterrey,2023-01-31,17,5.1,8.7,17,1.1,7.3,7.7,94.1,1.359,100,58.33,rain,0,0,30.2,27.7,36.8,1020.7,95.7,3.6,16,1.4,1,10,2023-01-31T07:25:23,2023-01-31T18:24:21,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"MMIO,76390099999,E0076,76394099999,MMAN,76394399999,76393099999"
monterrey,2023-02-01,11,3.3,5.9,11,0,4.6,4.2,89.1,0.284,100,25,rain,0,0,39.6,22.3,21.6,1022.5,96.6,5.6,18.5,1.5,1,10,2023-02-01T07:24:55,2023-02-01T18:25:05,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
monterrey,2023-02-02,17.9,5.1,9.3,17.9,4.3,9,5.4,79.2,0.1,100,4.17,rain,0,0,20.2,14.4,28.1,1024,58.2,10.8,93.5,8.1,5,10,2023-02-02T07:24:27,2023-02-02T18:25:49,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMIO,76390099999,E0076,76394099999,76394399999,remote,76393099999"
monterrey,2023-02-03,19.5,5.9,11.7,19.5,4.1,11.2,2.9,59.4,0,0,0,,0,0,36,22.3,355.4,1031.5,5.1,15.8,118.7,10.2,4,10,2023-02-03T07:23:57,2023-02-03T18:26:33,0.43,Clear,Clear conditions throughout the day.,clear-day,"MMIO,76390099999,E0076,76394099999,MMMY,76394399999,remote,76393099999"
